Customer_ID,Customer_Name,Order_Value,Spending_Rank
C00019,Customer_19,3176078.87,1
C02897,Customer_2897,2528868.53,2
C01915,Customer_1915,2476932.74,3
C02709,Customer_2709,2400905.35,4
C00187,Customer_187,2394078.09,5
C00685,Customer_685,2352464.63,6
C01297,Customer_1297,2345815.39,7
C00259,Customer_259,2330070.4299999997,8
C00921,Customer_921,2257528.6,9
C00271,Customer_271,2226186.64,10
C00874,Customer_874,2226100.84,11
C02512,Customer_2512,2198748.65,12
C01470,Customer_1470,2161834.0,13
C01204,Customer_1204,2138897.58,14
C02988,Customer_2988,2105275.02,15
C02281,Customer_2281,2092954.47,16
C01756,Customer_1756,2075097.31,17
C01130,Customer_1130,2066469.96,18
C01142,Customer_1142,2050412.31,19
C02551,Customer_2551,2034948.13,20
C00376,Customer_376,2029722.86,21
C01441,Customer_1441,2028741.76,22
C01849,Customer_1849,2024725.78,23
C01933,Customer_1933,2019356.51,24
C00307,Customer_307,2010906.74,25
C00887,Customer_887,2004692.37,26
C01604,Customer_1604,1999965.53,27
C00330,Customer_330,1976537.54,28
C01943,Customer_1943,1969185.3399999999,29
C01216,Customer_1216,1961939.91,30
C00387,Customer_387,1943899.41,31
C02519,Customer_2519,1941330.3599999999,32
C02687,Customer_2687,1922961.96,33
C00720,Customer_720,1922773.61,34
C02829,Customer_2829,1920295.75,35
C02244,Customer_2244,1896019.79,36
C00661,Customer_661,1886289.6800000002,37
C01444,Customer_1444,1876644.0499999998,38
C00429,Customer_429,1873997.41,39
C01279,Customer_1279,1859757.67,40
C02607,Customer_2607,1858360.84,41
C01391,Customer_1391,1836405.49,42
C01314,Customer_1314,1833408.6500000001,43
C00704,Customer_704,1829736.42,44
C02398,Customer_2398,1823231.42,45
C00662,Customer_662,1822492.41,46
C01463,Customer_1463,1820242.94,47
C00190,Customer_190,1812000.15,48
C02049,Customer_2049,1798643.14,49
C00770,Customer_770,1797578.21,50
C01192,Customer_1192,1792737.09,51
C01677,Customer_1677,1792187.88,52
C02886,Customer_2886,1788878.77,53
C02974,Customer_2974,1787219.2,54
C01752,Customer_1752,1786089.4,55
C01542,Customer_1542,1785177.54,56
C00993,Customer_993,1777858.6300000001,57
C01357,Customer_1357,1776279.67,58
C00816,Customer_816,1757573.17,59
C02444,Customer_2444,1756065.31,60
C00825,Customer_825,1756022.04,61
C01450,Customer_1450,1752075.54,62
C02701,Customer_2701,1748730.4300000002,63
C00833,Customer_833,1748020.58,64
C01440,Customer_1440,1744482.8699999999,65
C02559,Customer_2559,1741744.05,66
C02636,Customer_2636,1738098.71,67
C00493,Customer_493,1734782.1099999999,68
C02568,Customer_2568,1733674.09,69
C00948,Customer_948,1731670.13,70
C01811,Customer_1811,1730013.18,71
C00434,Customer_434,1728795.62,72
C02004,Customer_2004,1724277.97,73
C00443,Customer_443,1719501.02,74
C01782,Customer_1782,1715904.9,75
C01163,Customer_1163,1709480.3800000001,76
C00216,Customer_216,1705329.98,77
C02124,Customer_2124,1703723.21,78
C00522,Customer_522,1697953.2799999998,79
C02666,Customer_2666,1697000.1400000001,80
C02668,Customer_2668,1691843.34,81
C01358,Customer_1358,1691441.1400000001,82
C00012,Customer_12,1690816.8599999999,83
C00149,Customer_149,1690559.43,84
C02063,Customer_2063,1689498.1400000001,85
C02884,Customer_2884,1687668.53,86
C01593,Customer_1593,1682674.18,87
C00582,Customer_582,1682002.16,88
C02470,Customer_2470,1675332.8,89
C02041,Customer_2041,1670748.82,90
C00139,Customer_139,1670641.54,91
C01392,Customer_1392,1669301.38,92
C01032,Customer_1032,1668614.23,93
C00481,Customer_481,1664198.93,94
C01092,Customer_1092,1662278.92,95
C00476,Customer_476,1655888.6199999999,96
C00516,Customer_516,1654831.3900000001,97
C02972,Customer_2972,1654429.34,98
C00529,Customer_529,1651589.89,99
C01439,Customer_1439,1650270.07,100
C00710,Customer_710,1641768.8099999998,101
C00405,Customer_405,1640972.95,102
C01125,Customer_1125,1639577.92,103
C02306,Customer_2306,1638689.88,104
C01773,Customer_1773,1634986.21,105
C01914,Customer_1914,1633717.79,106
C02008,Customer_2008,1631542.94,107
C01031,Customer_1031,1629882.61,108
C00072,Customer_72,1626112.6099999999,109
C02929,Customer_2929,1617063.54,110
C01134,Customer_1134,1608603.49,111
C00977,Customer_977,1607659.8199999998,112
C00356,Customer_356,1600541.67,113
C01552,Customer_1552,1599310.8699999999,114
C00892,Customer_892,1596633.48,115
C01411,Customer_1411,1595772.28,116
C01076,Customer_1076,1595682.31,117
C00029,Customer_29,1593831.14,118
C01940,Customer_1940,1589054.0100000002,119
C01462,Customer_1462,1588372.1300000001,120
C00245,Customer_245,1588193.6,121
C00235,Customer_235,1587705.58,122
C00969,Customer_969,1585179.0,123
C00689,Customer_689,1582455.11,124
C01636,Customer_1636,1580715.65,125
C00391,Customer_391,1576005.1,126
C00878,Customer_878,1572319.98,127
C02181,Customer_2181,1571633.21,128
C02787,Customer_2787,1571263.95,129
C00807,Customer_807,1570915.23,130
C01885,Customer_1885,1570038.15,131
C00608,Customer_608,1569584.0,132
C01800,Customer_1800,1566053.12,133
C01258,Customer_1258,1564666.42,134
C02697,Customer_2697,1560884.77,135
C00180,Customer_180,1557673.02,136
C01381,Customer_1381,1556662.12,137
C00929,Customer_929,1552964.38,138
C00336,Customer_336,1552647.74,139
C02588,Customer_2588,1551317.34,140
C00668,Customer_668,1550569.3599999999,141
C00763,Customer_763,1549781.05,142
C02449,Customer_2449,1549423.6400000001,143
C02136,Customer_2136,1547288.88,144
C01637,Customer_1637,1544631.7200000002,145
C00580,Customer_580,1543931.62,146
C01038,Customer_1038,1541259.6600000001,147
C02164,Customer_2164,1541000.48,148
C00542,Customer_542,1539884.96,149
C02401,Customer_2401,1538430.4,150
C01001,Customer_1001,1538279.43,151
C01133,Customer_1133,1536614.0499999998,152
C00442,Customer_442,1534019.52,153
C02038,Customer_2038,1531726.23,154
C02170,Customer_2170,1531589.1099999999,155
C01417,Customer_1417,1531142.7200000002,156
C02210,Customer_2210,1531003.66,157
C00040,Customer_40,1530279.59,158
C00664,Customer_664,1525495.69,159
C02594,Customer_2594,1524636.52,160
C00826,Customer_826,1523685.77,161
C01284,Customer_1284,1520726.6300000001,162
C00798,Customer_798,1519198.42,163
C00858,Customer_858,1518344.33,164
C01983,Customer_1983,1516858.69,165
